"","ensembl_gene_id","hgnc_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"4522","ENSG00000235680","HLA-G",-0.699100398678459,11.2556823003572,-0.388153589416878,0.707664405278558,0.760032604354952,-4.65075645117486
"4553","ENSG00000237216","HLA-G",-0.699100398678459,11.2556823003572,-0.388153589416878,0.707664405278558,0.760032604354952,-4.65075645117486
"4737","ENSG00000276051","HLA-G",-0.699100398678459,11.2556823003572,-0.388153589416878,0.707664405278558,0.760032604354952,-4.65075645117486
"1289","ENSG00000114744","COMMD2",2.95505674101259,70.4618283145457,0.388108639473496,0.707696416486512,0.760032604354952,-4.65075878425206
"2281","ENSG00000140854","KATNB1",2.41545352260072,70.9362571796958,0.386018447265423,0.709185629550554,0.761465835175001,-4.65086699483879
"1817","ENSG00000130702","LAMA5",-24.9875024606309,629.726566458863,-0.384941295361174,0.709953592073781,0.762124189659665,-4.65092254663017
"2377","ENSG00000143486","EIF2D",-7.25925860075293,224.931359881946,-0.383375005868891,0.711070913800877,0.763157207028933,-4.65100306586734
"275","ENSG00000066084","DIP2B",5.03579519011229,158.460043617537,0.382847245943589,0.711447560965975,0.763395018011224,-4.65103012764607
"227","ENSG00000058668","ATP2B4",0.86272744972597,23.5866151713665,0.380375559226609,0.713212646788636,0.765122218378831,-4.65115640355884
"2987","ENSG00000163430","FSTL1",-4.80792830980702,42.6700544365156,-0.379059244341479,0.714153402953188,0.765964532187047,-4.65122334042479
"3051","ENSG00000164241","C5orf63",2.33978854652805,63.5306322671885,0.374820455161504,0.717186326744094,0.769049942618422,-4.65143741324933
"416","ENSG00000078369","GNB1",43.7166525352563,1662.70462202926,0.372255969319058,0.719023841842215,0.770030214407534,-4.65156583242654
"3064","ENSG00000164366","CCDC127",2.32859359450219,68.393849379725,0.371892700387983,0.719284289319236,0.770030214407534,-4.6515839565963
"4146","ENSG00000204209","DAXX",-4.60076584669929,272.830623119513,-0.371798533498952,0.719351809071755,0.770030214407534,-4.65158865204915
"4207","ENSG00000206206","DAXX",-4.60076584669929,272.830623119513,-0.371798533498952,0.719351809071755,0.770030214407534,-4.65158865204915
"4209","ENSG00000206279","DAXX",-4.60076584669929,272.830623119513,-0.371798533498952,0.719351809071755,0.770030214407534,-4.65158865204915
"4386","ENSG00000227046","DAXX",-4.60076584669929,272.830623119513,-0.371798533498952,0.719351809071755,0.770030214407534,-4.65158865204915
"4423","ENSG00000229396","DAXX",-4.60076584669929,272.830623119513,-0.371798533498952,0.719351809071755,0.770030214407534,-4.65158865204915
"4457","ENSG00000231617","DAXX",-4.60076584669929,272.830623119513,-0.371798533498952,0.719351809071755,0.770030214407534,-4.65158865204915
"1323","ENSG00000115355","CCDC88A",11.004284198304,293.104229091952,0.371427630870668,0.719617779835459,0.770147463071731,-4.65160713554874
"1671","ENSG00000125817","CENPB",3.62906780580217,99.9442806286712,0.369198776075143,0.721216919889305,0.77169113162683,-4.65171784312755
"3907","ENSG00000186312","CA5BP1",-0.91219983123248,19.5410068304436,-0.367745442547019,0.722260427547702,0.772639740290599,-4.65178969330026
"512","ENSG00000087460","GNAS",-2538.61794761869,7268.10058334854,-0.366631858316371,0.723060408175852,0.773327479784861,-4.65184456665474
"1155","ENSG00000111348","ARHGDIB",-1.23539676863118,18.5486891262698,-0.365898267332004,0.723587604750637,0.773723235922542,-4.65188062984712
"2431","ENSG00000144524","COPS7B",4.55190369035734,118.603008911019,0.364686342615571,0.724458898531035,0.774486679146207,-4.65194005901248
"2759","ENSG00000156273","BACH1",2.75441494255435,88.8160162376248,0.360441287112883,0.727514154927579,0.777584060944088,-4.65214676017959
"2313","ENSG00000141627","DYM",-3.95298831112236,145.414608599551,-0.357831468266239,0.729395062090097,0.779291649221571,-4.65227270617213
"2528","ENSG00000147459","DOCK5",4.83317453715025,96.6491174193098,0.357775323876632,0.729435546931502,0.779291649221571,-4.65227540613642
"1917","ENSG00000133134","BEX2",1.1952345418691,23.4194473451416,0.357565747535426,0.729586677079468,0.779291649221571,-4.65228548106117
"3440","ENSG00000171953","ATPAF2",-2.7737887931763,60.5341882239005,-0.357248271469857,0.729815639914667,0.779347647153228,-4.65230073242478
"1000","ENSG00000107331","ABCA2",-5.08761406713569,112.469957970341,-0.357054060744241,0.729955718266003,0.779347647153228,-4.65231005589507
"2558","ENSG00000148690","FRA10AC1",0.913786208720769,22.2923176975194,0.356485562269694,0.730365820701108,0.779465886332178,-4.65233732030123
"3849","ENSG00000184731","FAM110C",1.46361040187826,32.9706202370748,0.356461574624873,0.730383126884082,0.779465886332178,-4.65233846981462
"2526","ENSG00000147439","BIN3",1.43615887511803,42.6626086184043,0.356147025158564,0.730610077593276,0.779539100995167,-4.65235353660606
"3668","ENSG00000178567","EPM2AIP1",4.73763376165852,160.136205154458,0.353040268454404,0.73285313875954,0.781762947370144,-4.65250167457834
"1642","ENSG00000124942","AHNAK",43.7468772081254,1296.62867952362,0.351883659304318,0.733688899369761,0.782484933188331,-4.65255651150825
"1259","ENSG00000113812","ACTR8",-2.82722526019102,85.2547690730506,-0.350109126043521,0.734971899021211,0.78368348687057,-4.65264031474418
"2778","ENSG00000157224","CLDN12",-5.6174041389976,237.955413013675,-0.348836431824863,0.735892607980135,0.784495302963665,-4.65270017171812
"2016","ENSG00000135476","ESPL1",-3.68899198354891,97.7218879057289,-0.348283724795942,0.736292595158261,0.784751774402277,-4.65272610226464
"3163","ENSG00000166189","HPS6",0.816356689562774,15.2504889840272,0.346922646411283,0.737277952906408,0.785464221385237,-4.65278979213697
"2833","ENSG00000159176","CSRP1",5.76599683715582,218.678860019916,0.346919615557431,0.737280147678485,0.785464221385237,-4.65278993369847
"825","ENSG00000103647","CORO2B",-2.09280598117824,27.4399843839379,-0.345625812067621,0.738217279140683,0.786292441629075,-4.65285025621764
"3884","ENSG00000185621","LMLN",-1.31311707283076,24.1818413272834,-0.344260879767731,0.739206432656998,0.787175701486135,-4.65291366373302
"218","ENSG00000056678","KIFC1",-4.9483695066907,162.830395160007,-0.340077706411543,0.742241130343327,0.789724029539702,-4.65310651077296
"4145","ENSG00000204197","KIFC1",-4.9483695066907,162.830395160007,-0.340077706411543,0.742241130343327,0.789724029539702,-4.65310651077296
"4487","ENSG00000233450","KIFC1",-4.9483695066907,162.830395160007,-0.340077706411543,0.742241130343327,0.789724029539702,-4.65310651077296
"4557","ENSG00000237649","KIFC1",-4.9483695066907,162.830395160007,-0.340077706411543,0.742241130343327,0.789724029539702,-4.65310651077296
"2356","ENSG00000143162","CREG1",38.4528770382433,1276.80574798644,0.33774118042836,0.743938252566601,0.791358690014126,-4.65321325286748
"802","ENSG00000103160","HSDL1",3.52861508664421,96.3355311176757,0.336494047083294,0.744844707412369,0.792151759470965,-4.65326994114028
"4306","ENSG00000215252","GOLGA8B",-3.04103226122243,69.8617040863807,-0.332228272668725,0.747948374806286,0.795280744961414,-4.65346233515811
"3694","ENSG00000179218","CALR",-57.7592271587027,2058.80524343944,-0.332004025489897,0.74811166639498,0.795282602820662,-4.65347238456166
"1561","ENSG00000121989","ACVR2A",-1.36770432305366,37.201268059208,-0.33015933572064,0.749455436090617,0.796539100145533,-4.6535548075237
"4609","ENSG00000248593","DSTNP2",0.644894807996297,14.8845151757624,0.328527698335721,0.750644761866551,0.797481538634463,-4.6536273468965
"2304","ENSG00000141480","ARRB2",-4.34408611635717,167.481089175682,-0.328498366586011,0.750666148696344,0.797481538634463,-4.65362864779866
"1711","ENSG00000127124","HIVEP3",9.19688112010361,109.531312796456,0.327457468806784,0.751425251999329,0.798115753094433,-4.65367474141513
"1208","ENSG00000112406","HECA",-2.07424816646191,63.1460608131482,-0.323331682993857,0.754436903049949,0.801141689757313,-4.65385607088027
"3256","ENSG00000168096","ANKS3",-1.08396668434137,33.2598373395698,-0.321878386279263,0.755498810869443,0.802096322171721,-4.65391942173759
"1707","ENSG00000126878","AIF1L",-1.44616760762948,47.6539781460273,-0.31890277823373,0.757674767838392,0.804022585524274,-4.65404828244021
"3785","ENSG00000182870","GALNT9",-1.36185063027973,26.8036523147546,-0.318727344990122,0.757803127530496,0.804022585524274,-4.65405584403965
"4909","ENSG00000288490","GALNT9",-1.36185063027973,26.8036523147546,-0.318727344990122,0.757803127530496,0.804022585524274,-4.65405584403965
"477","ENSG00000084754","HADHA",7.82568627592401,449.548329280889,0.318409007497299,0.758036066626973,0.804096435252012,-4.65406955501631
"256","ENSG00000064666","CNN2",12.0544561744274,452.260238932221,0.317968348670223,0.758358555809144,0.804265224094876,-4.6540885128562
"1603","ENSG00000123374","CDK2",-4.59727765213462,325.224075513783,-0.317463749623275,0.758727900060961,0.804483620934764,-4.65411019071559
"1300","ENSG00000114933","INO80D",-8.09263688661591,196.865134976325,-0.316760048724322,0.759243087438144,0.804683254996336,-4.6541403672019
"4839","ENSG00000283510","INO80D",-8.09263688661591,196.865134976325,-0.316760048724322,0.759243087438144,0.804683254996336,-4.6541403672019
"4068","ENSG00000197921","HES5",-1.67773614110516,59.8097773344144,-0.31393098997299,0.761315553902784,0.806532488027416,-4.65426103875168
"4682","ENSG00000273529","HES5",-1.67773614110516,59.8097773344144,-0.31393098997299,0.761315553902784,0.806532488027416,-4.65426103875168
"2188","ENSG00000138448","ITGAV",2.71504919012019,69.3824236316929,0.312010674442331,0.762723470611945,0.807850181975604,-4.65434235880117
"2972","ENSG00000163214","DHX57",-3.55369329589994,138.66902594907,-0.311506494273158,0.763093275207577,0.80806801330327,-4.65436363034201
"3331","ENSG00000169570","DTWD2",-1.70270752278665,55.1800467126304,-0.310946772994821,0.763503893277633,0.808328960560385,-4.65438720663452
"1027","ENSG00000108001","EBF3",-0.574769929948089,8.59536098544673,-0.310076011987367,0.764142851044159,0.808831489075553,-4.65442380372925
"1034","ENSG00000108262","GIT1",4.68123530297339,199.25543825561,0.309079574377268,0.764874263789738,0.809431642441289,-4.65446556235595
"3657","ENSG00000178177","LCORL",1.51798244250747,42.8544490431865,0.3084322775953,0.765349531275767,0.809760529222136,-4.65449262027543
"2367","ENSG00000143387","CTSK",-1.38937575712775,26.1775480247845,-0.307983239777722,0.765679292000875,0.809935357653698,-4.65451135878213
"2014","ENSG00000135454","B4GALNT1",-0.948723627186618,14.9868623774817,-0.304878456931296,0.767960735967343,0.811870871604641,-4.65464020688664
"506","ENSG00000087088","BAX",4.13892662008978,168.38674556251,0.304820731519267,0.768003176256985,0.811870871604641,-4.6546425906387
"915","ENSG00000105656","ELL",1.68437565510412,56.2972089642964,0.304819899257478,0.768003788150074,0.811870871604641,-4.65464262500351
"2776","ENSG00000157107","FCHO2",-1.8474034705016,66.7604915689599,-0.304268993793177,0.76840886098053,0.812124693561002,-4.65466535263799
"3575","ENSG00000175536","LIPT2",-0.563460565719857,14.4867733024402,-0.300934861896697,0.77086200143428,0.814542526950195,-4.65480206104826
"2550","ENSG00000148384","INPP5E",1.90453041970387,66.4575578614326,0.29764354159384,0.77328631988994,0.816926795983293,-4.65493559621937
"4033","ENSG00000197102","DYNC1H1",19.4048229251263,784.838164634354,0.29742105570131,0.77345029373921,0.816926795983293,-4.65494457202011
"2185","ENSG00000138435","CHRNA1",1.47104205152556,34.0347192895599,0.296973606113241,0.77378010401394,0.816996867791821,-4.65496260406493
"3164","ENSG00000166199","ALKBH3",2.1577411223783,70.4049779236051,0.296721005662496,0.77396631454959,0.816996867791821,-4.65497277224905
"3942","ENSG00000187608","ISG15",-1.51398199710424,32.2764627761658,-0.296655641830516,0.774014501600864,0.816996867791821,-4.65497540205255
"3640","ENSG00000177731","FLII",5.8357781289765,315.6632399038,0.295098610526109,0.775162670752317,0.817858085750891,-4.65503788201056
"4855","ENSG00000284571","FLII",5.8357781289765,315.6632399038,0.295098610526109,0.775162670752317,0.817858085750891,-4.65503788201056
"4046","ENSG00000197406","DIO3",1.67947989054754,49.2879365272593,0.293939457804257,0.776017820675919,0.818584900618717,-4.65508419085754
"3623","ENSG00000177119","ANO6",-3.69162825260353,185.279789902193,-0.288319864127042,0.780168163620831,0.822786604435593,-4.65530621158722
"2283","ENSG00000140931","CMTM3",1.53364358241728,28.4227310463773,0.285601652993355,0.782178381779197,0.824729957913684,-4.65541212299381
"2139","ENSG00000137714","FDX1",0.875007972713867,24.6762211730104,0.284915052556128,0.78268642293804,0.825088920797424,-4.65543872254902
"643","ENSG00000100150","DEPDC5",-2.02275016481472,58.7363020512852,-0.283398845261606,0.783808711357681,0.826095115823991,-4.65549724327944
"1796","ENSG00000130158","DOCK6",-9.23017886119584,309.72292841699,-0.282842397963676,0.784220725033663,0.826352446348614,-4.6555186448497
"2257","ENSG00000140323","DISP2",-0.517437466033516,15.3217148675287,-0.282162290120491,0.78472439916578,0.826696201116421,-4.65554474746042
